English,Hindi,Kaithi
Wow,वाह,𑂫𑂰𑂯
help,बचाओ,𑂥𑂒𑂰𑂋
jump,उछलो,𑂇𑂓𑂪𑂷
jump,कूदो,𑂍𑂴𑂠𑂷
jump,छलांग,𑂓𑂪𑂰𑂁𑂏
hello,नमस्ते,𑂢𑂧𑂮𑂹𑂞𑂵
hello,नमस्कार,𑂢𑂧𑂮𑂹𑂍𑂰𑂩
cheers,वाह-वाह,𑂫𑂰𑂯-𑂫𑂰𑂯
cheers,चियर्स,𑂒𑂱𑂨𑂩𑂹𑂮
got it ,समझे कि नही,𑂮𑂧𑂕𑂵 𑂍𑂱 𑂢𑂯𑂲
I'm OK,मैं ठीक हूँ।,𑂧𑂶𑂁 𑂘𑂲𑂍 𑂯𑂴𑂀।
Awesome,बहुत बढ़िया,𑂥𑂯𑂳𑂞 𑂥𑂛़𑂱𑂨𑂰
come in,अंदर आ जाओ।,𑂃𑂁𑂠𑂩 𑂄 𑂔𑂰𑂋।
Get out,बाहर निकल जाओ,𑂥𑂰𑂯𑂩 𑂢𑂱𑂍𑂪 𑂔𑂰𑂋
Go away,चले जाओ,𑂒𑂪𑂵 𑂔𑂰𑂋
Goodbye,ख़ुदा हाफ़िज़।,𑂎़𑂳𑂠𑂰 𑂯𑂰𑂤़𑂱𑂔़।
Perfect,उत्तम,𑂇𑂞𑂹𑂞𑂧
Perfect,सही!,𑂮𑂯𑂲
Welcome,आपका स्वागत है।,𑂄𑂣𑂍𑂰 𑂮𑂹𑂫𑂰𑂏𑂞 𑂯𑂶।
Welcome,स्वागतम्।,𑂮𑂹𑂫𑂰𑂏𑂞𑂧𑂹।
Have fun,मज़े करना।,𑂧𑂔़𑂵 𑂍𑂩𑂢𑂰।
Have fun,मौज करना।,𑂧𑂸𑂔 𑂍𑂩𑂢𑂰।
Have fun,मज़े करो।,𑂧𑂔़𑂵 𑂍𑂩𑂷।
I forgot,मैं भूल गया।,𑂧𑂶𑂁 𑂦𑂴𑂪 𑂏𑂨𑂰।
I forgot,मैं भूल गई।,𑂧𑂶𑂁 𑂦𑂴𑂪 𑂏𑂆।
I'll pay,मैं पैसे दूंगा।,𑂧𑂶𑂁 𑂣𑂶𑂮𑂵 𑂠𑂴𑂁𑂏𑂰।
I'm fine,मैं ठीक हूँ।,𑂧𑂶𑂁 𑂘𑂲𑂍 𑂯𑂴𑂀।
I'm full,मेरा पेट भर गया है।,𑂧𑂵𑂩𑂰 𑂣𑂵𑂗 𑂦𑂩 𑂏𑂨𑂰 𑂯𑂶।
Let's go,चलो चलें!,𑂒𑂪𑂷 𑂒𑂪𑂵𑂁!
Answer me,मुझे जवाब दो।,𑂧𑂳𑂕𑂵 𑂔𑂫𑂰𑂥 𑂠𑂷।
Birds fly,पंछी उड़ते हैं।,𑂣𑂁𑂓𑂲 𑂇𑂙़𑂞𑂵 𑂯𑂶𑂁।
Excuse me,माफ़ कीजिए।,𑂧𑂰𑂤़ 𑂍𑂲𑂔𑂱𑂉।
Fantastic,बहुत ख़ूब!,𑂥𑂯𑂳𑂞 𑂎़𑂴𑂥!
I fainted,मैं बेहोश हो गया।,𑂧𑂶𑂁 𑂥𑂵𑂯𑂷𑂬 𑂯𑂷 𑂏𑂨𑂰।
I fear so,"खेद की बात है, लेकिन वैसा ही है।","𑂎𑂵𑂠 𑂍𑂲 𑂥𑂰𑂞 𑂯𑂶, 𑂪𑂵𑂍𑂱𑂢 𑂫𑂶𑂮𑂰 𑂯𑂲 𑂯𑂶।"
I laughed,मैं हँसा।,𑂧𑂶𑂁 𑂯𑂀𑂮𑂰।
I'm bored,मैं बोर हो रहा हूँ।,𑂧𑂶𑂁 𑂥𑂷𑂩 𑂯𑂷 𑂩𑂯𑂰 𑂯𑂴𑂀।
I'm broke,मेरा दीवालिया हो चुका है।,𑂧𑂵𑂩𑂰 𑂠𑂲𑂫𑂰𑂪𑂱𑂨𑂰 𑂯𑂷 𑂒𑂳𑂍𑂰 𑂯𑂶।
